Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1883,-42.3,-36.5,-19.6,-5.2,8.5,12.9,19.9,14.1,4.8,-8.9,-28.9,-40.2,-10.1
1884,-41.9,-32.8,-25,-9,1.9,14.6,21.4,15.2,6.9,-7.4,-24.9,-38.5,-10
1885,-45.1,-36.4,-17.8,-11.6,2.1,13.2,19.3,13.6,5.5,-8.5,-28.5,-42,-11.4
1886,-42.6,-33.1,-23,-6.5,3.5,12.7,15.8,10.4,5,-9.6,-28.9,-39.7,-11.3
1887,-43.5,-32.2,-17.2,-6.5,6.3,17.7,17.2,11.2,7.2,-7.9,-32.4,-40.4,-10
1888,-43.3,-39.8,-24.8,-8.2,5.7,13.8,17.5,15,4.8,-7.9,-25.6,-43.1,-11.3
1889,-44.8,-28,-23.4,-6.1,5.9,16.7,19.7,13.2,6.7,-10.5,-29.2,-39.2,-9.9
1890,-46.1,-39,-21.3,-5.4,5.5,16.7,19.1,15,9.3,-4.8,-30.3,-43,-10.4
1891,-45.5,-35.3,-16.2,-6.6,7.2,16.2,18.8,14.5,5.6,-10.2,-29.5,-38,-9.9
1892,-46.3,-40.5,-22.6,-7,6.8,17.1,15.8,14.1,5.4,-5.7,-28.2,-40.4,-11
1893,-42.3,-37.3,-22,-4.8,8.2,17.4,21.3,12.7,6.1,-6.9,-27.3,-38.2,-9.4
1894,-44.2,-38.3,-18.8,-4.9,5.6,13.6,21.7,14.6,5.9,-10,-27.8,-36.9,-10
1895,-49.8,-37.3,-24.9,-9.3,3,18,19.8,15.3,7.6,-8.3,-30.1,-37.2,-11.1
1896,-40.3,-32.8,-21.9,-13.2,3.5,15,18.5,16.6,7.9,-5.5,-26.8,-42.3,-10.1
1897,-49.4,-33.8,-23.2,-6.2,7.1,15.8,19.9,15.1,5.5,-6.5,-23.4,-34.7,-9.5
1898,-42.9,-29.5,-25.9,-11.7,6,14.7,17,15.7,4.1,-9.6,-32,-41.2,-11.3
1899,-42.4,-35.4,-22.1,-10.4,4.2,13.1,18.9,17.9,7.1,-4.7,-30,-45.3,-10.8
1900,-51.4,-43.7,-22,-6.1,6.1,12.5,16.4,14.2,8.3,-7.3,-29,-39.5,-11.8
1901,-44.4,-36.2,-19,-5.3,5.4,15.8,18.4,15.4,5.7,-9.5,-27.2,-38.8,-10
1902,-48.6,-34.2,-24.2,-9.3,2.3,16.2,18.5,13.9,5.3,-10.2,-31.5,-37.9,-11.6
1903,-37.4,-27.5,-18.9,-11.2,6.2,16.1,18.7,14.3,5.8,-10.1,-22,-44,-9.2
1904,-38.7,-37.2,-21,-5.5,3.4,11.9,16.8,13.1,5.5,-10.3,-23.3,-37.3,-10.2
1905,-35.8,-37.5,-21.7,-10.4,3.5,14.3,16.7,13,6,-10.6,-30.4,-41.9,-11.2
